Time,Value
-748.0,-0.0
-744.0,1.2087613E-5
-740.0,-1.6028552E-4
-736.0,-6.9898635E-4
-732.0,-1.3110452E-4
-728.0,-7.4722775E-4
-724.0,-0.0018896846
-720.0,-1.13473E-5
-716.0,-1.7312521E-4
-712.0,-0.0014002938
-708.0,7.9777424E-4
-704.0,0.0011735882
-700.0,-4.3268592E-4
-696.0,0.0016003085
-692.0,0.0023242056
-688.0,1.2209555E-4
-684.0,0.0015654644
-680.0,0.002495826
-676.0,-3.173204E-4
-672.0,3.6581274E-4
-668.0,0.0016061105
-664.0,-0.0014635667
-660.0,-0.0014142812
-656.0,4.2187708E-4
-652.0,-0.002347244
-648.0,-0.0026572852
-644.0,-3.0053203E-5
-640.0,-0.002067657
-636.0,-0.0026096841
-632.0,6.9199735E-4
-628.0,-5.765444E-4
-624.0,-0.0015071399
-620.0,0.0020213902
-616.0,0.0012955635
-612.0,-3.1764738E-4
-608.0,0.0029072165
-604.0,0.0024461285
-600.0,8.826489E-7
-596.0,0.0026493012
-592.0,0.0023663838
-588.0,-8.1480586E-4
-584.0,0.0012858601
-580.0,0.0013067714
-576.0,-0.002259716
-572.0,-4.9681414E-4
-568.0,1.18185795E-4
-564.0,-0.0035031638
-560.0,-0.0018114452
-556.0,-3.568283E-4
-552.0,-0.0037861625
-548.0,-0.0020247882
-544.0,4.3017056E-4
-540.0,-0.0027885535
-536.0,-0.0010516274
-532.0,0.002376478
-528.0,-7.994305E-4
-524.0,5.036226E-4
-520.0,0.004586901
-516.0,0.0011476737
-512.0,0.0013646132
-508.0,0.0057265754
-504.0,0.0017689484
-500.0,3.4546226E-4
-496.0,0.0047826758
-492.0,4.7824215E-4
-488.0,-0.0027084881
-484.0,0.0020332853
-480.0,-0.0018426166
-476.0,-0.0062919296
-472.0,-7.583202E-4
-468.0,-0.002998096
-464.0,-0.0080918195
-460.0,-0.0013957237
-456.0,-0.0012420542
-452.0,-0.006668473
-448.0,7.1365276E-4
-444.0,0.0033165233
-440.0,-0.002869025
-436.0,0.0038865434
-432.0,0.00815324
-428.0,4.6871044E-4
-424.0,0.0050735143
-420.0,0.010131247
-416.0,6.8654655E-4
-412.0,0.002265956
-408.0,0.007978953
-404.0,-0.002467876
-400.0,-0.0036589094
-396.0,0.0033558318
-392.0,-0.0064104167
-388.0,-0.009287217
-384.0,-1.1658584E-4
-380.0,-0.007567762
-376.0,-0.011304611
-372.0,2.8491206E-4
-368.0,-0.0040888744
-364.0,-0.008717731
-360.0,0.0044150897
-356.0,0.002696472
-352.0,-0.0037013127
-348.0,0.009275732
-344.0,0.009104693
-340.0,-1.16891766E-4
-336.0,0.011103845
-332.0,0.011687166
-328.0,-8.7744906E-4
-324.0,0.007840653
-320.0,0.009259953
-316.0,-0.006116237
-312.0,4.354058E-4
-308.0,0.0038285765
-304.0,-0.012826361
-300.0,-0.007456003
-296.0,-4.8640522E-4
-292.0,-0.016755857
-288.0,-0.011613082
-284.0,2.4451493E-4
-280.0,-0.014556991
-276.0,-0.009654553
-272.0,0.0073330547
-268.0,-0.006048385
-264.0,-0.0029596973
-260.0,0.017882518
-256.0,0.004714214
-252.0,0.0032644344
-248.0,0.025742542
-244.0,0.011392272
-240.0,0.0026156274
-236.0,0.02494304
-232.0,0.009306606
-228.0,-0.00797509
-224.0,0.014155695
-220.0,-3.95989E-4
-216.0,-0.02491016
-212.0,-0.001095334
-208.0,-0.009907779
-204.0,-0.038548034
-200.0,-0.010710246
-196.0,-0.009089014
-192.0,-0.039320435
-188.0,-0.0071291965
-184.0,0.0070861974
-180.0,-0.024943382
-176.0,0.007985179
-172.0,0.03315141
-168.0,-0.0039627226
-164.0,0.022855554
-160.0,0.05475994
-156.0,0.0086500645
-152.0,0.02254463
-148.0,0.05804417
-144.0,0.002014608
-140.0,-1.4564821E-4
-136.0,0.039941482
-132.0,-0.021597479
-128.0,-0.037669618
-124.0,0.01232245
-120.0,-0.04640046
-116.0,-0.07106588
-112.0,-0.004707674
-108.0,-0.05229472
-104.0,-0.08160796
-100.0,0.004386002
-96.0,-0.02877398
-92.0,-0.0635787
-88.0,0.0397926
-84.0,0.017966662
-80.0,-0.028523024
-76.0,0.08649077
-72.0,0.06785471
-68.0,0.002198872
-64.0,0.12483745
-60.0,0.1001917
-56.0,0.010635571
-52.0,0.14461295
-48.0,0.10367977
-44.0,-0.008364286
-40.0,0.15348656
-36.0,0.07634596
-32.0,-0.04506161
-28.0,0.17972662
-24.0,0.0031800095
-20.0,-0.0668292
-16.0,0.274706
-12.0,-0.26982015
-8.0,0.29352656
-4.0,-0.15570056
0.0,0.22142509
4.0,0.22160126
8.0,-0.04991569
12.0,-0.40866822
16.0,-0.2838384
20.0,0.15427172
24.0,0.23066999
28.0,0.01742209
32.0,0.05874721
36.0,0.184103
40.0,0.026186295
44.0,-0.09161988
48.0,0.015939115
52.0,-0.01657332
56.0,-0.14461836
60.0,-0.062337592
64.0,0.005454505
68.0,-0.0847693
72.0,-0.043158717
76.0,0.06489325
80.0,0.008106026
84.0,-0.0044338214
88.0,0.09287382
92.0,0.0571686
96.0,-0.0034567013
100.0,0.061476476
104.0,0.046844512
108.0,-0.036475535
112.0,5.1626233E-5
116.0,0.01401235
120.0,-0.06254682
124.0,-0.043096777
128.0,7.0290733E-4
132.0,-0.05228897
136.0,-0.045326956
140.0,0.016753701
144.0,-0.0123265665
148.0,-0.021454616
152.0,0.04000036
156.0,0.026368095
160.0,-0.0024040046
164.0,0.043589782
168.0,0.039032616
172.0,-0.005414987
176.0,0.021087915
180.0,0.025864504
184.0,-0.022562083
188.0,-0.010636578
192.0,0.0068887053
196.0,-0.033062916
200.0,-0.02927063
204.0,0.001010786
208.0,-0.024123756
212.0,-0.026301958
216.0,0.01039786
220.0,-0.0014237165
224.0,-0.011504285
228.0,0.022082949
232.0,0.018347854
236.0,-0.0012281763
240.0,0.022216216
244.0,0.02305687
248.0,-0.003443748
252.0,0.008574896
256.0,0.014242002
260.0,-0.012651289
264.0,-0.008699201
268.0,0.003459869
272.0,-0.017294532
276.0,-0.017641282
280.0,6.353199E-4
284.0,-0.011139198
288.0,-0.014573075
292.0,0.0059747444
296.0,0.0017429313
300.0,-0.005793003
304.0,0.011684404
308.0,0.0118340645
312.0,-4.2909547E-4
316.0,0.010425644
320.0,0.012937903
324.0,-0.0021062847
328.0,0.0020939102
332.0,0.0070803566
336.0,-0.0068516424
340.0,-0.006976241
344.0,0.0012513543
348.0,-0.008194324
352.0,-0.01044408
356.0,3.5085477E-4
360.0,-0.003552896
364.0,-0.0073008686
368.0,0.0034600953
372.0,0.0036899387
376.0,-0.0020677526
380.0,0.005653981
384.0,0.0079389
388.0,2.2788216E-4
392.0,0.0035219423
396.0,0.006777719
400.0,-0.001336408
404.0,-0.0017777287
408.0,0.0025964489
412.0,-0.0035514114
416.0,-0.00598907
420.0,-2.825293E-4
424.0,-0.0028887333
428.0,-0.006023168
432.0,8.437591E-5
436.0,8.0615334E-4
440.0,-0.0028214585
444.0,0.001954394
448.0,0.004584181
452.0,1.9365865E-4
456.0,0.0021954896
460.0,0.0053405836
464.0,6.550692E-4
468.0,-3.0159135E-4
472.0,0.0029621397
476.0,-8.0011436E-4
480.0,-0.0035241465
484.0,-2.6925163E-5
488.0,-0.0015513651
492.0,-0.0047328006
496.0,-0.0010852803
500.0,-2.9181112E-5
504.0,-0.0030312755
508.0,-9.484356E-5
512.0,0.002664446
516.0,-2.3901109E-4
520.0,9.3298237E-4
524.0,0.0040901206
528.0,0.0012525668
532.0,2.3907688E-4
536.0,0.0030320399
540.0,7.4660574E-4
544.0,-0.0018456636
548.0,5.4781674E-4
552.0,-3.6170715E-4
556.0,-0.0033670897
560.0,-0.0012079532
564.0,-2.8996496E-4
568.0,-0.002860771
572.0,-0.001146235
576.0,0.001139615
580.0,-8.1440527E-4
584.0,-1.3967014E-4
588.0,0.00255387
592.0,9.817966E-4
596.0,2.1790522E-4
600.0,0.002482076
604.0,0.0013016918
608.0,-6.3648645E-4
612.0,9.4227656E-4
616.0,5.1262643E-4
620.0,-0.0017893083
624.0,-7.1607E-4
628.0,-5.88448E-5
632.0,-0.0019424133
636.0,-0.0012445388
640.0,3.1523337E-4
644.0,-8.681298E-4
648.0,-7.0041197E-4
652.0,0.0011445568
656.0,5.017973E-4
660.0,-8.248904E-5
664.0,0.001371973
668.0,0.0010797142
672.0,-1.4446066E-4
676.0,6.519268E-4
680.0,7.122315E-4
684.0,-6.748985E-4
688.0,-3.9181244E-4
692.0,1.4889488E-4
696.0,-8.845297E-4
700.0,-8.8090537E-4
704.0,5.9606016E-5
708.0,-3.8908538E-4
712.0,-6.249321E-4
716.0,3.681164E-4
720.0,3.687052E-4
724.0,-1.3162341E-4
728.0,4.8459225E-4
732.0,5.8559503E-4
736.0,1.0249907E-5
740.0,6.374869E-5
744.0,9.121359E-5
748.0,-8.638593E-6
752.0,-0.0
